,AbiD,AbiH,AbiJ,AbiL,AbiU,AbiZ,Avs_II,Avs_III,Avs_IV,Avs_V,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,CapRel,DRT_2,DRT_3,DRT_8,DRT_9,DarTG,Dazbog,Detocs,Dnd_ABCDE,Dnd_ABCDEFGH,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,GAPS4,Gabija,Gao_Her_DUF,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Lamassu-Hydrolase_Protease,Lamassu-Mrr,Menshen,Mokosh_Type_I_C,NLR_like_bNACHT01,Old_exonuclease,Olokun,PARIS_I,PARIS_II,PARIS_II_merge,PD-Lambda-1,PD-Lambda-2,PD-Lambda-5,PD-T4-5,PD-T7-2,PD-T7-3,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_II,Retron_III,Retron_IV,Retron_I_A,Retron_I_C,Retron_VI,Retron_XI,Retron_XII,RloC,RosmerTA,Rst_3HP,Rst_HelicaseDUF2290,SEFIR,Septu,Shedu,ShosTA,SoFic,SspBCDE,Thoeris_I,Thoeris_II,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
Gao_Her_DUF,1,0.285294111,1,1,1,1,1,1,1,1,1,1,2.60E-17,0.003169322,1,1,0.177323817,1,1,0.636168133,1,1,1,1,0.442314368,1,1,1,1,0.001281145,1,1,1,1,0.000552032,1,1,1,1,0.638596669,1,1,1,1,0.63260158,1,1,1,1,1,1,0.374625495,1,0.010499665,1,1,0.010694246,1,1,1,4.16E-06,0.002918329,1,1,1,1,0.408161426,1,1,1,1,1,1,1,0.000149555,1,1,1,6.71E-10,0.181555755,1,1,0.001922465,1,1,0.492354133,2.86E-26,1,1
Gao_Iet,1,0.409775691,1,1,1,1,1,1,1,1,1,0.282906696,1,0.004032098,1,1,0.409977633,1,1,1,1,1,1,1,1,1,1,1,1,0.009476221,1,1,1,1,0.011424572,1,1,1,1,1,1,1,1,1,2.50E-31,1,1,1,1,1,1,0.27166686,1,0.052381623,1,1,0.052958515,1,1,1,1.27E-07,0.022084779,1,1,1,1,0.628798386,1,1,1,1,1,1,1,0.031836783,1,1,1,0.023523281,0.420139004,1,0.486518403,0.014438928,1,1,1,1,1,1
Gao_Mza,1,1,1,1,1,1,1,1,0.003708278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.019414415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.157598243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gao_Ppl,1,1,1,1,1,1,1,1,1,1,1,1,1,0.26802865,1,5.53E-05,1,1,1,1,1,1,1,1,0.000421402,1,1,1,1,0.257348534,1,1,1,1,0.261152691,1,1,1,0.053338997,1,6.70E-05,1,1,1,1,1,1,1,1,1,1,0.523698485,1,0.641614455,1,1,0.642804523,1,1,0.0806537,0.01491791,0.403245807,1,2.12E-07,1,1,1,1,1,1,1,1,1,1,0.165134352,1,1,1,0.678389489,1,1,0.214935446,0.410474173,1,1,1,1,0.060240132,1
Gao_Qat,0.030063969,6.62E-09,1,0.00187279,0.00058669,1,1,0.014112401,0.394638745,1,0.00070772,0.810159205,1.93E-07,5.20E-05,1,0.11697386,1.62E-10,1,1,0.033578793,1,0.635123238,0.623819981,1,0.004092262,0.412172796,1,1,1,1.98E-08,0.000552032,0.011424572,1,0.261152691,1.77E-29,1,0.001267487,1,0.27110637,4.19E-06,1,1,1,0.006382172,0.00744863,1,0.623819981,0.526465944,1,1,1,0.000519338,0.000106707,3.46E-15,0.620191436,1,1.25E-15,1,0.583187104,0.257089516,1.75E-18,1.78E-11,0.076201764,3.17E-05,0.0013094,1,8.68E-07,1,0.618234127,0.620191436,0.111989199,1,1,0.580861879,0.275142083,1,0.61822647,0.444211113,5.55E-21,9.50E-06,1,0.864433471,1.98E-100,1,0.006249427,0.417516568,1.32E-06,0.171989053,0.111940861
Gao_RL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.076332125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.223433789,1,1,1,0.165590726,1,1,1,1,1,1,1,1,1,1
Hachiman,1,0.271870905,1,0.459972376,1,1,1,1,0.116825241,1,1,1,1,0.446509361,1,0.235301052,0.272163751,1,1,1,1,1,0.099320961,1,1,1,1,1,1,0.216632087,1,1,0.019414415,1,0.001267487,1,1,1,1,0.631985112,1,1,1,1,0.629336737,1,0.00474907,0.430815087,1,1,1,1,1,1,1,1,1,1,1,1,0.000100704,0.045171769,1,0.616575899,0.140516097,1,2.53E-17,1,1,1,1,1,1,1,4.04E-05,1,1,0.324862683,0.030841622,0.728614464,1,0.579492249,0.004483689,1,1,1,0.639340504,1,1
Hna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183862379,1,1,1,1,1,1,1,1,1,1,1,1,0.006373138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kiwa,1,0.021393149,1,1,1,1,1,1,1,1,1,1,1,0.001357872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.123019754,1,1,1,0.053338997,0.27110637,1,1,1,1,1,0.01360083,1,1,1,1,1,1,1,1,1,1,1,1,0.400812427,1,1,0.400840903,1,1,1,0.006277003,0.410997889,0.086164674,0.249431057,0.17979047,1,1,1,1,1,1,1,1,0.091527544,0.510952424,1,1,1,0.418979113,1,1,1,0.258495581,1,1,1,1,1,1
Lamassu-Cap4_nuclease,0.610581773,0.052900049,1,0.629714074,0.640283463,1,1,1,0.01903598,1,0.019467732,0.170403046,0.097674207,0.041431055,0.065743145,1,0.269940481,1,1,0.714554065,1,1,1,1,0.601606667,1,1,1,1,0.433788063,0.638596669,1,1,1,4.19E-06,1,0.631985112,1,1,1,1,1,0.002554339,1,0.429968124,0.001838129,1,0.016170995,0.086688043,1,1,0.141175814,0.408813599,0.000417307,1,1,0.018355137,1,1,1,1.49E-07,0.091382013,1,1,0.632496371,1,0.729496216,1,1,1,0.630673419,1,1,1.18E-06,0.002797144,1,0.137030151,0.494013182,0.004739224,0.000468313,1,0.409313241,3.46E-05,1,1,1.08E-05,1.90E-35,0.320031778,1
